序號,班級,學號,姓名,GitHub 帳號,作業一,作業二,作業三,作業四,作業五,作業六,作業七,作業八,作業九,作業十
1,電資資安,112C53374,醏篌去,0n93b6c6kn,0,3,7,4,0,0,7,3,7,2
2,資工系,111590939,媣屐毖,noamzt5n58,0,1,4,1,0,7,9,6,1,7
3,電資AI,111C52479,详档肕,666zyse5tck,8,8,7,7,0,0,7,2,5,6
4,電資AI,112C52579,潼绑壺,64nc1hux59,8,0,8,2,4,8,7,2,9,4
5,電資AI,112C52259,窄灮伮,nng5c51rktg,6,1,7,3,7,2,4,1,1,9
6,資工系,111590162,觿硷丨,a4mgxwcla1,3,4,7,3,0,2,7,2,0,7
7,電資資安,112C53814,堧鋜寀,gqzj40xzqqf,1,7,0,4,3,0,6,6,7,3
8,資工系,111590349,腰擓椵,6hs8z7c5wb,6,2,6,0,8,0,4,2,5,1
9,電資AI,111C52703,蟡氓镓,2s0zxcgrj,6,9,2,9,3,7,4,2,7,2
10,資工所,112598759,譬拋愪,3usmyfq4s7,7,5,0,2,6,8,0,9,4,5
11,電資資安,111C53381,誇菖畞,vgj89myienf,1,6,7,4,6,3,1,6,0,6
12,電資資安,111C53399,璽党瘲,walvuao5nc,8,5,4,2,8,7,1,4,3,5
13,電資AI,111C52550,璾馍耟,gwpxsnzn8a,0,0,0,5,2,9,6,1,1,6
14,資工系,111590396,翠鑮汝,2k641mnm9w,5,5,9,3,1,0,5,2,8,9
15,電資資安,112C53272,坪鹧臲,x09svdo12d,1,5,8,2,6,7,6,8,9,0
16,資工所,112598622,汲銐垫,up7sqo86eu,1,0,7,9,0,1,3,6,0,6
17,電資AI,112C52815,墐翲鹓,c5p2u4ipor,9,1,2,8,3,3,1,7,6,8
18,資工系,111590001,厊曚颎,535m0wrk16,1,0,5,3,7,6,3,1,7,6
19,資工所,111598317,賈跒祍,ma5ppma6gt,3,3,3,1,5,1,5,9,3,2
20,電資AI,111C52218,譚嫾蕁,nv5sp1oeptk,1,5,6,4,3,6,8,9,2,0
21,資工所,111598000,絡髋癩,a60gkxeiwd,1,1,9,5,4,7,6,2,6,0
22,電資資安,111C53967,狮裍椓,wjta9ybyj1l,0,4,9,9,2,6,4,7,4,9
23,資工所,111598910,狑鯫噸,tvsx6i0c4w,5,7,3,4,9,6,1,4,4,9
24,電資AI,112C52776,冡璟唍,h0bb95yj3df,5,9,6,1,3,9,0,4,0,8
25,資工所,111598621,寵氐薎,o8drgidte6,8,8,7,7,5,3,7,6,5,5
26,電資資安,112C53641,蝵裵轒,pkomqtovrv,3,6,4,5,4,0,9,0,2,2
27,電資AI,112C52857,胜焸凪,4ficqwum4m,3,7,3,7,1,3,4,0,3,8
28,電資AI,111C52772,柶蠟垞,gvawhfe5dm,4,2,5,5,0,3,4,4,5,2
29,資工系,112590376,禶蛠琭,2myuzf38ph,3,8,1,5,9,9,0,6,6,7
30,資工系,112590094,幉謀贂,c0z9j9z96p,0,4,7,4,2,5,6,6,8,3
31,資工系,112590535,靘礿魗,91cpmbt1ur,4,1,4,0,9,4,9,7,6,1
32,電資資安,111C53431,涢埤褶,2aakmt5mlf,9,2,4,7,2,5,3,7,1,3
33,電資AI,112C52319,奁因嫉,ohy0a07618,8,7,5,0,9,1,1,5,3,2
34,電資AI,112C52623,玔羊軸,y06pjyc9lei,6,0,3,3,1,1,4,6,6,1
35,資工系,111590649,魪韥輏,fpnoou76xz,9,4,8,8,1,3,8,3,9,2
36,資工所,112598803,嫐瀗鷡,02rdjt9v8e,9,2,8,9,6,1,7,9,4,7
37,資工所,112598900,幥窄巌,vevlwy68rn,7,5,7,3,5,7,0,8,5,1
38,電資AI,111C52481,鶨淞餩,5rlszksqwo,2,7,9,8,6,7,3,3,2,1
39,資工所,111598121,躊渥暇,mrwa68xtfl,5,4,4,5,5,9,6,1,6,8
40,電資AI,111C52502,毪诶侇,pvki774lxd,4,0,0,1,5,5,1,9,1,2
41,電資資安,112C53403,祄鷷蘜,i4y172ha7w,8,3,0,7,2,9,6,8,0,9
42,電資資安,112C53595,鸶胫妅,az3vxhtbvb,4,0,2,0,8,3,6,1,4,2
43,電資資安,112C53756,璞橹亝,18sp5887u3l,5,5,0,9,1,1,8,6,2,4
44,資工所,111598404,餂桧造,dade79o1n5,3,0,2,2,8,6,4,6,9,7
45,電資AI,112C52236,洭挶聍,k5fiugrzq1,9,2,8,7,9,5,2,7,6,9
46,資工系,111590916,纜橨濧,l9z1rwlhpa,0,0,9,4,1,8,7,4,3,5
47,資工系,111590256,盠泝肴,5vt5z6ujiel,0,7,4,7,8,9,8,3,4,6
48,資工系,111590120,柺驕鱿,9revqsv6xk,9,4,8,4,3,4,9,2,9,7
49,資工系,111590088,厌眽堝,xkp0o7jjnfl,9,9,7,8,9,8,3,9,6,6
50,電資資安,112C53935,酢嘬隲,anhlp0ee1c,6,2,3,4,9,0,2,1,1,6
51,資工所,112598564,硱嗪曊,uhbyb7tya7,3,3,6,2,9,3,6,9,1,2
52,資工系,112590207,窶翙奖,klaj01zqhs,3,8,3,1,3,8,5,0,6,0
53,電資資安,112C53733,竺喎婢,wz3h6mml3g,3,9,6,5,4,2,2,8,7,1
54,資工系,111590969,魮笤忾,y6e8rdg3vm,3,6,0,6,0,2,3,9,6,8
55,電資資安,112C53255,合唱鑛,be85k8pbgh,8,5,3,9,9,9,3,8,0,1
56,資工系,111590338,駳鎈麫,ucgpodyshl,3,6,5,9,3,2,2,9,4,2
57,資工所,112598513,桬閴碋,cihnwbxbxc,2,0,4,9,5,1,9,8,3,9
58,資工系,111590873,壚隠狦,it79i17j28j,0,5,7,7,5,1,5,5,1,2
59,資工所,112598383,鿇劈拂,svnl72l1qb,0,6,9,1,3,3,6,5,2,9
60,電資資安,112C53126,鿢砕挫,zpjbr3xzmr,2,2,3,0,0,1,9,8,3,9
61,電資資安,112C53060,饢雎濽,tddg29g3b9f,3,9,4,7,6,5,5,4,4,0
62,電資資安,112C53681,戮烱螟,mkx5ro6h0n,7,0,7,2,2,0,6,8,0,7
63,電資資安,112C53226,助雱鋤,8ta3saphb,7,7,3,3,8,0,2,1,6,1
64,資工所,111598664,蜐桒檈,zg40bkeu9w,6,0,7,2,3,9,4,8,8,9
65,資工系,112590575,搘峽芩,xucke2gadh,9,0,8,0,5,3,2,9,0,2
66,資工系,112590900,績肜坁,audgs77mz0k,1,6,6,8,9,7,5,5,3,7
67,電資AI,112C52308,盟侺碃,nop1fwodjl,1,2,2,7,1,7,7,1,6,2
68,資工所,111598950,谥綼萞,njmi49h4ov,9,7,4,8,6,5,9,5,0,4
69,資工所,111598546,撺笴痽,5604niqlk1,6,6,9,0,7,0,1,9,7,3
70,資工所,111598605,詐桴荲,24j8gvhu2c,4,2,0,2,9,4,3,0,0,2
71,資工系,112590994,元薌覹,w85lmdl3n4,4,7,4,8,0,2,2,9,0,1
72,電資資安,111C53381,岧羁嫙,cb7pfr0e5h,4,1,1,2,2,5,0,9,0,8
73,電資資安,111C53380,式鑓锳,tmvcn69msi,4,0,0,2,7,0,8,9,5,3
74,資工系,112590020,潑朹浲,lnfgnlufo4,5,6,0,0,2,3,6,5,5,9
75,資工系,112590500,桰朁逕,o31n7vq04v,0,4,6,3,9,0,4,3,4,9
76,資工所,111598163,羛娦葍,7yfr86ax8u,5,5,1,5,4,8,3,3,9,8
77,資工系,112590632,鶋僐窠,8d55j7zj1r,7,5,0,8,2,0,8,5,9,6
78,電資資安,112C53553,禈馹巎,6ptt9yu0nlh,7,2,5,6,2,8,2,1,5,9
79,電資資安,111C53400,雭鵪萃,s9gfyp91ydf,6,9,9,4,0,7,3,4,3,0
80,資工所,111598047,砬焎勎,qjx9obac4r,4,4,4,8,0,7,4,1,8,8
81,電資AI,112C52821,駾殑螉,gwr2qyir2o,2,2,0,4,8,9,9,2,5,6
82,資工所,112598366,楸鱢隰,oq8gfcvoph,9,9,8,6,2,3,2,6,2,8
83,資工系,111590600,郁婬颽,vspkagxkj2,2,4,4,6,9,6,2,2,5,2
84,電資資安,111C53974,媎潹飡,se1q7ohy68,0,9,2,2,0,1,8,3,3,0
85,電資AI,111C52111,壭緓臵,3vpouwlilv,1,4,8,8,8,3,6,7,3,9
86,資工所,111598481,鍾烨呚,1yw13yi9am,5,4,9,2,3,0,3,6,1,9
87,電資AI,111C52973,絕涚鵉,q0cwjcmejp,8,9,0,0,7,2,5,9,3,8
88,資工所,112598867,燄頛強,7lgfhwvdr,7,3,8,7,0,1,8,0,1,3
89,資工所,111598822,嗌劈朒,ia1etqarq4,1,0,1,4,9,5,5,0,8,8
90,資工所,111598099,領蛷櫺,7lmpqwk34n,4,7,5,4,6,8,1,4,0,9
91,資工系,111590207,嶘尹铺,ayta39cp4vh,4,2,3,8,9,1,6,6,8,0
92,資工所,112598818,依槑瞝,yjvwun1t28,2,3,9,6,4,3,8,0,4,9
93,資工系,112590596,斁馕鉜,nh1xcvr9zyh,3,7,6,2,2,0,4,2,9,0
94,資工所,111598100,鶯嬇阞,rvcp1hkvmw,2,8,9,9,5,3,3,1,9,0
95,電資資安,112C53877,鯍译嘲,oqf48u39ml,0,6,8,9,9,5,9,6,4,5
96,資工系,111590360,錂伺爎,o9q54ialnti,2,9,9,3,9,5,3,3,0,9
97,電資資安,112C53053,遝藀遝,oohnhqxw4d,5,5,4,6,8,4,3,7,2,6
98,電資AI,112C52608,琿鶒踉,fb1ry6oau6,0,0,7,3,5,2,4,8,5,7
99,電資AI,112C52677,懴蠾氙,93do9smcjck,0,8,7,2,1,2,9,8,8,9
100,資工所,111598573,歓擏焷,ory2pd5461,7,5,5,2,5,6,5,4,0,3
